implementation,threads,msg_size,cycles,instructions,cache_refs,cache_misses,l1_loads,l1_misses,llc_loads,llc_misses,ctx_switches,cycles_per_byte
two_copy,1,256,14528330104,12736867134,1259031167,47588257,4748760483,216625866,<not,<not,289041,36.0950
one_copy,1,256,16057685161,13522370944,1249085358,43778239,4921285761,208247359,<not,<not,258983,41.0491
zero_copy,1,256,164494947,142389715,15969750,587894,51486896,3428411,<not,<not,7242,42.8543
two_copy,2,256,27596756228,23886647731,2425792206,91081944,8895848124,431327158,<not,<not,583483,35.2676
one_copy,2,256,40231809441,36938307731,1315044924,53210016,12880822596,244633582,<not,<not,260772,18.5381
zero_copy,2,256,277901848,241218816,27716668,978019,86885811,5695879,<not,<not,12623,42.9888
two_copy,4,256,54369832405,46318956894,4588517490,176904684,17306807003,840460655,<not,<not,1035055,35.2946
one_copy,4,256,65115170354,55406548178,3900796598,149620683,19854647502,699990944,<not,<not,761676,29.5412
zero_copy,4,256,442049059,382880542,44185256,1589260,138097834,9012189,<not,<not,19779,43.2900
two_copy,8,256,124466755443,96754294440,5272807556,136646625,36279762380,1473833570,<not,<not,914931,19.9653
one_copy,8,256,145424387438,109395529544,3287562817,136773182,38284512861,1124593899,<not,<not,449648,20.6552
zero_copy,8,256,4131412567,3616877727,410807357,11992151,1301682950,84486242,<not,<not,186868,42.6689
two_copy,1,1024,14061559720,12238697255,1326490811,53972487,4644628480,252096773,<not,<not,309617,9.7218
one_copy,1,1024,16746428355,14212891006,1429905877,51606616,5291841970,256334415,<not,<not,236505,11.3355
zero_copy,1,1024,4618325,1977912,346636,161762,873665,41496,<not,<not,30,173.4647
two_copy,2,1024,27595384797,23629943442,2561212838,106163770,8969093655,503427298,<not,<not,613588,9.5091
one_copy,2,1024,33204925761,27841590470,2825677503,102736018,10383768470,503377777,<not,<not,470236,11.4362
zero_copy,2,1024,7837199,3030165,606386,294902,1369265,68621,<not,<not,60,147.1829
two_copy,4,1024,50567058216,43071453602,4600369847,194802187,16326978823,915802302,<not,<not,1100593,9.4328
one_copy,4,1024,61425208535,50823110821,5093820086,190986817,18967407099,930106971,<not,<not,836620,11.5655
zero_copy,4,1024,13946498,5517911,1052023,466695,2456645,139750,<not,<not,129,124.9507
two_copy,8,1024,82343809712,61300648450,5840216563,221358564,23708321755,1583898495,<not,<not,1215196,9.3274
one_copy,8,1024,110606461432,78419519574,6693389230,174923358,29608152140,1914967531,<not,<not,943923,10.6498
zero_copy,8,1024,25479547,10249862,1910625,790297,4492414,275000,<not,<not,255,102.3965
two_copy,1,4096,13285424897,11327145201,1426632378,53507371,4574311827,363117608,<not,<not,333134,2.4718
one_copy,1,4096,13965696600,11606500266,1355280338,46954339,4526595420,355232649,<not,<not,312979,2.7992
zero_copy,1,4096,15642755015,14214768163,1607098958,55959785,5643926167,453805757,<not,<not,234016,3.4713
two_copy,2,4096,26377747740,22461204616,2806381519,105636256,9063078553,724472130,<not,<not,665416,2.4732
one_copy,2,4096,27773043974,23077180299,2694260211,94429151,8979826469,711047889,<not,<not,623125,2.8061
zero_copy,2,4096,30866106590,27011862357,3056669685,105259756,10738673800,874020063,<not,<not,436541,3.6296
two_copy,4,4096,47969205144,39531361587,4929968483,190715522,16046653833,1327029941,<not,<not,1130599,2.4913
one_copy,4,4096,51929916073,41998104489,4913858966,183434248,16389916571,1339939534,<not,<not,1106370,2.8682
