implementation,threads,msg_size,throughput_gbps,latency_us,bytes_total,elapsed_s
two_copy,1,256,0.6440,3.13,402501888,5.00
one_copy,1,256,0.6259,3.23,391181568,5.00
zero_copy,1,256,0.0047,436.33,3838464,6.54
two_copy,2,256,1.2519,3.22,782494720,5.00
one_copy,2,256,3.4721,1.13,2170212184,5.00
zero_copy,2,256,0.0085,442.28,6464512,6.12
two_copy,4,256,2.4644,3.27,1540457216,5.00
one_copy,4,256,3.5264,2.27,2204208384,5.00
zero_copy,4,256,0.0135,584.10,10211328,6.05
two_copy,8,256,9.9733,1.58,6234151168,5.00
one_copy,8,256,11.2633,1.39,7040554017,5.00
zero_copy,8,256,0.1127,129.83,96824832,6.87
two_copy,1,1024,2.3140,3.49,1446382592,5.00
one_copy,1,1024,2.3635,3.42,1477338112,5.00
zero_copy,1,1024,0.0000,207873.12,26624,5.41
two_copy,2,1024,4.6430,3.48,2901984256,5.00
one_copy,2,1024,4.6453,3.47,2903483392,5.00
zero_copy,2,1024,0.0001,207836.44,53248,5.40
two_copy,4,1024,8.5761,3.77,5360732160,5.00
one_copy,4,1024,8.4970,3.80,5311047680,5.00
zero_copy,4,1024,0.0002,198405.84,111616,5.41
two_copy,8,1024,13.5760,4.64,8828127232,5.20
one_copy,8,1024,16.6145,3.88,10385762304,5.00
zero_copy,8,1024,0.0004,174462.18,248832,5.41
two_copy,1,4096,8.5991,3.76,5374754816,5.00
one_copy,1,4096,7.9822,4.06,4989140992,5.00
zero_copy,1,4096,7.2096,4.50,4506300416,5.00
two_copy,2,4096,17.0631,3.79,10665025536,5.00
one_copy,2,4096,15.8346,4.09,9897267200,5.00
zero_copy,2,4096,13.6055,4.76,8503947264,5.00
two_copy,4,4096,30.8045,4.20,19254460416,5.00
one_copy,4,4096,28.9662,4.47,18105331712,5.00
zero_copy,4,4096,24.1708,5.37,15107805184,5.00
two_copy,8,4096,53.3020,4.85,33318723584,5.00
one_copy,8,4096,46.1795,5.61,28866083322,5.00
zero_copy,8,4096,37.0733,7.00,23173902336,5.00
two_copy,1,16384,23.7560,5.47,14848147456,5.00
one_copy,1,16384,22.5798,5.76,14113374208,5.00
zero_copy,1,16384,18.8458,6.91,11779145728,5.00
two_copy,2,16384,47.5757,5.46,29736632320,5.00
one_copy,2,16384,44.7581,5.80,27975516160,5.00
zero_copy,2,16384,37.0409,7.02,23151984640,5.00
two_copy,4,16384,85.9458,6.04,53719760896,5.00
one_copy,4,16384,84.0495,6.18,52535803904,5.00
zero_copy,4,16384,67.2222,7.74,42016735232,5.00
two_copy,8,16384,139.3098,7.36,88463114240,5.08
one_copy,8,16384,135.4074,7.50,86945796565,5.14
zero_copy,8,16384,98.5391,10.57,61591355392,5.00
two_copy,1,65536,38.6577,13.50,24162598912,5.00
one_copy,1,65536,37.8193,13.79,23638573056,5.00
zero_copy,1,65536,32.2807,16.16,20176568320,5.00
two_copy,2,65536,76.3589,13.66,47727312896,5.00
one_copy,2,65536,75.0497,13.90,46909227008,5.00
zero_copy,2,65536,63.6079,16.40,39757348864,5.00
two_copy,4,65536,144.4618,14.45,90294976512,5.00
one_copy,4,65536,141.3130,14.74,88327127040,5.00
zero_copy,4,65536,116.0761,17.98,72553332736,5.00
two_copy,8,65536,323.9670,12.87,202495819776,5.00
one_copy,8,65536,326.0955,12.69,203830984598,5.00
zero_copy,8,65536,192.0199,21.75,120030822400,5.00
